dataset, model, explainer, RC, FA, RA, SA, SRA, PGU, PGI, RIS, ROS
compas,ann,ig,,,,,,0.06647138,0.11860247,222.05655818475495,1101.7555712805392
compas,ann,ig,,,,,,0.046372734,0.064259075,42.47067175849843,3074.813418606536
compas,ann,ig,,,,,,0.09754077,0.06910457,64.77207553255947,1020.1214650205749
compas,ann,ig,,,,,,0.06846446,0.090721175,243.12535430345244,1130.060682034382
compas,ann,ig,,,,,,0.07101803,0.24396545,270.03040738937153,4358.4183660024855
compas,ann,ig,,,,,,0.14396083,0.06852761,163.40090890811052,1698.1798110921848
compas,ann,ig,,,,,,0.08144962,0.07595183,339.3842711405677,1065.4929038294342
compas,ann,ig,,,,,,0.075442694,0.11568433,194.72139017542438,996.32128450155
compas,ann,ig,,,,,,0.3439406,0.6451394,89.5590747759656,7425.426176203592
compas,ann,ig,,,,,,0.63226324,0.6931638,54.20640766005665,6023.699189167393
compas,ann,ig,,,,,,0.5957991,0.6006608,45.4514864267539,1986.3656441440658
compas,ann,ig,,,,,,0.6978194,0.5782279,57.208751523485255,30158.091765866942
compas,ann,ig,,,,,,0.56660044,0.53731406,60.33630149028423,2054.8034637645464
compas,ann,ig,,,,,,0.624153,0.53769696,50.23012583076856,1840.083169658
compas,ann,ig,,,,,,0.7401154,0.5700723,44.269930333730194,1944.105025355273
compas,ann,ig,,,,,,0.61066777,0.64708614,39.541649050666756,1817.12855493925
compas,ann,ig,,,,,,0.6111361,0.54704255,37.62389220069199,2054.6043714560055
compas,ann,ig,,,,,,0.5415611,0.5444384,51.871902876002785,1808.8886292700304
compas,ann,ig,,,,,,0.6866396,0.7330008,15512.087497646808,80330.61624303686
compas,ann,ig,,,,,,0.7219591,0.7523272,17431.421339903216,135485.0429015226
compas,ann,ig,,,,,,0.668854,0.79078376,63486.76356976074,54062.48492097843
compas,ann,ig,,,,,,0.7215038,0.72576696,10345.477877178837,719880.1362262806
compas,ann,ig,,,,,,0.73269415,0.65298617,252892.96773741755,254725.48430898678
compas,ann,ig,,,,,,0.67043227,0.76447123,47863.24920653338,24501.160896540965
compas,ann,ig,,,,,,0.71767104,0.74971634,13831.438629684757,39364.87968392052
compas,ann,ig,,,,,,0.69680536,0.7975442,98393.9446321235,31749.309302247406
compas,ann,ig,,,,,,0.72879636,0.67389333,36947.36867497578,37098.24504904339
compas,ann,ig,,,,,,0.7186259,0.7821849,60055.53412098474,1006404.1177569034
compas,ann,ig,,,,,,0.064876735,0.1673981,177.38623909905166,1249.3392852140703
compas,ann,ig,,,,,,0.0719399,0.20412126,123.09297439844525,3585.625705517073
compas,ann,ig,,,,,,0.06781685,0.3153425,343.37406729300847,1691.060271264604
compas,ann,ig,,,,,,0.07641655,0.25832373,343.7032624086423,2328.6876709769977
compas,ann,ig,,,,,,0.09889211,0.114270225,338.7828747685856,1309.6848350476878
compas,ann,ig,,,,,,0.063082114,0.2818701,271.45289213954766,1744.038952808033
compas,ann,ig,,,,,,0.10232955,0.1741098,319.2557370814893,2719.864113395875
compas,ann,ig,,,,,,0.059737373,0.21128389,269.4286136353082,6487.3629289293285
